time,place,latitude,longitude,depth,mag
2018-11-26 23:33:50,"3km SSW of Sakai, Japan",36.0733,139.783,48.82,4.8
2018-11-26 13:04:02,"26km SSE of Ofunato, Japan",38.8576,141.8384,50.56,4.5
2018-11-25 09:19:05,"9km SW of Komatsushima, Japan",33.95,134.4942,38.19,4.6
2018-11-23 14:30:14,"29km ENE of Iwaki, Japan",37.1821,141.1721,46.76,5.2
2018-11-23 07:19:51,"250km N of Chichi-shima, Japan",29.3424,142.3121,10.0,4.7
2018-11-20 19:09:48,"96km WSW of Nishinoomote, Japan",30.4087,130.0687,123.0,5.5
2018-11-20 15:38:31,"49km SE of Shizunai, Japan",42.0009,142.7654,73.55,4.5
2018-11-18 23:02:08,"67km S of Hirara, Japan",24.1937,125.2046,30.25,4.5
2018-11-18 01:51:22,"Izu Islands, Japan region",30.7822,141.9762,10.0,4.8
2018-11-17 07:40:05,"74km NNW of Iwo Jima, Japan",25.3931,141.0321,115.25,4.8
2018-11-16 12:09:51,"182km ESE of Chichi-shima, Japan",26.3407,143.8582,36.24,4.8
2018-11-16 02:49:12,"4km SSW of Miyako, Japan",39.6014,141.937,49.23,4.5
2018-11-14 10:07:30,"31km E of Tomakomai, Japan",42.6765,141.9846,35.0,4.8
2018-11-14 04:09:41,"26km SSE of Tateyama, Japan",34.7663,139.9805,105.5,5.0
2018-11-12 01:44:52,"101km W of Iwanai, Japan",42.9554,139.2679,8.66,4.5
2018-11-11 08:26:37,"268km SE of Hachijo-jima, Japan",31.4232,141.8762,10.0,4.9
2018-11-09 18:19:01,"258km SE of Hachijo-jima, Japan",31.4465,141.757,10.0,4.7
2018-11-09 18:08:35,"252km SE of Hachijo-jima, Japan",31.4081,141.6164,7.65,4.9
2018-11-08 23:05:36,"92km ENE of Hachinohe, Japan",40.7338,142.5527,46.17,4.5
2018-11-06 14:06:55,"8km SSW of Kaseda, Japan",31.3464,130.2914,153.81,4.5
2018-11-06 05:41:00,"145km NE of Naze, Japan",29.2926,130.5364,35.0,4.8
2018-11-05 14:46:58,"140km NE of Naze, Japan",29.2376,130.5301,36.22,5.0
2018-11-05 14:39:14,"146km NE of Naze, Japan",29.2918,130.5495,20.13,4.8
2018-11-04 23:19:17,"14km SW of Tanabe, Japan",33.6271,135.2732,38.72,4.5
2018-11-04 13:08:27,"62km E of Hakodate, Japan",41.8346,141.4836,105.19,4.7
2018-11-02 18:19:30,"119km ESE of Takahagi, Japan",36.3247,141.9646,18.75,4.9
2018-11-02 07:53:55,"21km WSW of Tanabe, Japan",33.689,135.1407,35.22,5.4
2018-10-30 17:59:26,"2km ESE of Muroran, Japan",42.3089,141.0174,124.9,4.5
2018-10-30 13:46:49,"168km SSE of Hachijo-jima, Japan",31.7203,140.595,108.42,4.6
2018-10-29 15:32:51,"156km SE of Hachijo-jima, Japan",32.0275,140.8996,49.66,4.8
2018-10-29 12:25:23,"52km ESE of Takahagi, Japan",36.4974,141.2367,46.56,4.5
2018-10-29 01:27:44,"168km SSE of Hachijo-jima, Japan",31.6133,140.2515,94.0,5.5
2018-10-28 14:46:29,"70km ESE of Iwaki, Japan",36.9038,141.6538,35.0,4.9
2018-10-28 13:28:59,"122km ESE of Namie, Japan",37.1874,142.3293,8.74,4.5
2018-10-28 06:27:24,"116km SSW of Nishinoomote, Japan",29.7245,130.6764,44.5,4.6
2018-10-27 11:39:13,"69km NNE of Miyako, Japan",40.1961,142.3206,53.57,4.8
2018-10-27 00:08:02,"39km ESE of Iwaki, Japan",36.9011,141.2901,9.7,4.8
2018-10-26 08:45:35,"4km SSW of Ibusuki, Japan",31.1987,130.6371,117.01,4.5
2018-10-25 18:36:09,"43km ESE of Ishinomaki, Japan",38.3158,141.785,40.0,5.7
2018-10-24 20:01:24,"113km E of Namie, Japan",37.339,142.2702,23.37,4.5
2018-10-23 11:06:21,"42km E of Ishinomaki, Japan",38.3475,141.777,44.25,4.6
2018-10-22 15:21:42,"233km ESE of Ishinomaki, Japan",37.8031,143.852,10.0,4.5
2018-10-22 10:47:19,"35km ENE of Namie, Japan",37.5957,141.3821,46.64,5.0
2018-10-21 22:07:38,"247km NNE of Chichi-shima, Japan",28.9647,143.571,10.0,4.6
2018-10-21 11:02:52,"21km ESE of Ohara, Japan",35.1704,140.6009,38.05,4.6
2018-10-20 01:51:12,"33km E of Iwaki, Japan",37.0022,141.2542,19.86,4.5
2018-10-19 17:30:31,"46km E of Shizunai, Japan",42.3707,142.9248,42.66,4.6
2018-10-18 22:19:36,"143km ENE of Hachijo-jima, Japan",33.5493,141.2363,34.35,4.7
2018-10-18 12:52:23,"72km E of Ishinomaki, Japan",38.4427,142.1305,47.47,4.5
2018-10-18 12:35:55,"224km ESE of Hachijo-jima, Japan",32.0877,141.8781,23.6,4.6
2018-10-18 07:23:43,Kuril Islands,47.0156,152.8699,57.9,4.6
2018-10-18 05:18:22,"27km SSE of Hasaki, Japan",35.5209,140.9905,35.02,4.9
2018-10-17 13:29:08,"256km NNW of Chichi-shima, Japan",29.1271,141.0014,80.18,5.2
2018-10-17 02:58:54,"70km SE of Haebaru, Japan",25.947,128.4265,18.41,4.8
2018-10-16 15:15:45,"74km SE of Haebaru, Japan",25.856,128.388,10.0,4.5
2018-10-15 23:34:19,"42km S of Ofunato, Japan",38.6914,141.8002,56.13,4.5
2018-10-15 19:29:46,Kuril Islands,47.4724,152.6555,55.69,4.6
2018-10-15 08:05:22,"91km ESE of Haebaru, Japan",25.9629,128.6829,10.0,4.7
2018-10-15 00:12:55,"6km WSW of Matsubase, Japan",32.6162,130.6042,10.0,4.5
2018-10-14 21:58:02,"78km SW of Chichi-shima, Japan",26.5525,141.6906,35.0,4.5
2018-10-14 00:30:28,"46km ESE of Ishinomaki, Japan",38.2959,141.8105,49.3,4.6
2018-10-13 23:19:55,"57km ESE of Itoman, Japan",25.8498,128.1607,10.0,4.6
2018-10-13 16:35:01,"160km NNW of Nago, Japan",27.8272,127.1416,171.69,4.6
2018-10-13 12:29:05,"91km ESE of Nago, Japan",26.3139,128.842,18.24,4.5
2018-10-13 11:33:45,"132km E of Yamada, Japan",39.3602,143.4791,10.0,4.6
2018-10-12 12:57:16,East of the Kuril Islands,47.8596,155.7742,33.72,4.5
2018-10-12 04:15:47,"7km WNW of Hasaki, Japan",35.7549,140.7582,34.51,5.2
2018-10-12 00:14:27,"17km E of Tomakomai, Japan",42.6212,141.8133,17.94,4.5
2018-10-11 06:18:42,"147km WSW of Naze, Japan",27.9648,128.0506,10.0,4.7
2018-10-09 19:58:38,"56km ESE of Kamaishi, Japan",39.0221,142.4627,22.81,4.6
2018-10-09 04:16:45,"81km ENE of Misawa, Japan",41.0022,142.2267,50.85,4.5
2018-10-09 03:09:04,"131km WSW of Naze, Japan",27.9703,128.2198,10.0,4.6
2018-10-09 02:32:14,"Izu Islands, Japan region",29.9016,141.0843,48.3,4.5
2018-10-08 19:52:02,"47km ESE of Namie, Japan",37.3655,141.5211,35.0,4.7
2018-10-08 15:45:15,"162km NNW of Chichi-shima, Japan",28.4707,141.6854,37.76,4.6
2018-10-08 14:44:46,"283km ESE of Iwo Jima, Japan",23.6085,143.815,12.11,4.7
2018-10-08 14:18:05,"278km ESE of Iwo Jima, Japan",23.5895,143.7463,10.0,4.5
2018-10-08 12:53:59,"31km E of Tomakomai, Japan",42.6258,141.9864,34.0,4.6
2018-10-08 05:45:27,"289km ESE of Iwo Jima, Japan",23.6221,143.8849,10.0,4.9
2018-10-08 05:17:02,"297km ESE of Iwo Jima, Japan",23.7133,144.0184,10.0,4.6
2018-10-07 03:01:10,"179km WSW of Chichi-shima, Japan",26.5339,140.5194,415.84,4.7
2018-10-07 01:14:19,"12km N of Shinshiro, Japan",35.0158,137.4893,40.22,4.8
2018-10-06 15:18:43,"147km E of Nago, Japan",26.4868,129.4496,10.0,4.7
2018-10-06 04:14:24,"29km ESE of Chitose, Japan",42.6914,141.9692,38.64,4.6
2018-10-05 18:40:20,"113km ESE of Hachijo-jima, Japan",32.6447,140.8904,48.05,4.5
2018-10-05 01:05:32,"160km E of Nago, Japan",26.7298,129.5792,10.0,4.5
2018-10-04 23:58:48,"35km E of Tomakomai, Japan",42.5988,142.0359,16.92,5.0
2018-10-04 22:44:32,"149km E of Nago, Japan",26.6068,129.4751,10.0,5.0
2018-10-04 08:20:53,"46km SSE of Kushima, Japan",31.0932,131.4663,35.0,4.6
2018-10-03 15:15:32,"15km ENE of Hasaki, Japan",35.7891,140.9937,30.59,4.9
2018-10-03 14:56:18,"204km S of Kushiro, Japan",41.1356,144.3686,10.0,4.6
2018-10-02 10:25:28,"66km ENE of Namie, Japan",37.6683,141.7129,35.0,4.6
2018-10-01 19:29:23,"87km ESE of Kamaishi, Japan",38.9592,142.8115,36.52,4.5
2018-10-01 15:07:11,"173km E of Nago, Japan",26.7516,129.7105,10.0,4.7
2018-10-01 02:22:03,"28km ENE of Chitose, Japan",42.893,141.9909,33.53,4.8
2018-09-30 16:07:00,"213km SE of Hachijo-jima, Japan",31.9167,141.6083,16.41,4.6
2018-09-30 08:54:05,"33km ESE of Tomakomai, Japan",42.5471,141.9968,35.0,5.0
2018-09-29 09:25:54,"25km ESE of Chitose, Japan",42.7652,141.9494,35.0,4.5
2018-09-29 04:40:33,Kuril Islands,47.1412,152.6567,83.57,4.9
2018-09-27 19:32:25,"20km ENE of Iwaki, Japan",37.148,141.0743,49.03,4.5
2018-09-27 11:45:52,"173km E of Nago, Japan",26.7884,129.7,10.0,4.6
2018-09-27 10:32:15,Kuril Islands,47.6007,154.0345,39.98,4.8
2018-09-26 06:00:29,"41km NNW of Chichi-shima, Japan",27.4408,142.0848,72.44,4.6
2018-09-25 03:50:12,"38km ENE of Hakodate, Japan",41.9449,141.1385,104.3,4.5
2018-09-24 14:25:21,"46km ENE of Hirara, Japan",25.0248,125.6729,57.04,4.7
2018-09-23 20:00:04,East of the Kuril Islands,45.94,152.9642,10.0,4.7
2018-09-23 15:05:34,"9km ENE of Funaishikawa, Japan",36.4966,140.6655,53.8,4.6
2018-09-23 13:29:50,"65km SSE of Hasaki, Japan",35.2249,141.1966,26.58,4.8
2018-09-22 10:58:01,"167km E of Nago, Japan",26.6637,129.6566,10.0,5.4
2018-09-20 23:06:02,"167km E of Nago, Japan",26.7341,129.6486,10.0,4.6
2018-09-20 14:57:26,"167km E of Nago, Japan",26.6747,129.6597,10.0,4.7
2018-09-20 07:44:26,"103km ENE of Miyako, Japan",39.8823,143.1136,36.43,4.7
2018-09-18 16:54:28,"96km E of Hasaki, Japan",35.7288,141.9027,8.38,4.7
2018-09-18 16:21:49,"23km ENE of Ishinomaki, Japan",38.4621,141.5577,56.52,5.1
2018-09-18 10:35:19,"177km S of Naze, Japan",26.7882,129.7743,10.0,4.6
2018-09-18 08:11:11,"3km ESE of Sugito, Japan",36.0211,139.7672,83.53,4.6
2018-09-18 06:25:54,"165km E of Nago, Japan",26.6887,129.6347,10.0,4.6
2018-09-17 02:32:09,"172km E of Nago, Japan",26.7095,129.7013,10.0,5.0
2018-09-16 17:51:29,"22km ENE of Tomakomai, Japan",42.6789,141.8707,13.88,4.8
2018-09-16 17:35:57,"169km E of Nago, Japan",26.655,129.6809,10.0,4.5
